# kind	count	file	suppression_text	review
biome-ignore	1	packages/acp-core/src/workflow/index.ts	// biome-ignore lint/complexity/noExcessiveCognitiveComplexity: central dispatcher for one checked transition with multiple guard layers.	SUPPRESSION-REVIEWED[T-05538]: existing ACP workflow dispatcher intentionally keeps guard-layer ordering auditable in one transition path.
biome-ignore	1	packages/acp-core/src/workflow/index.ts	// biome-ignore lint/complexity/noExcessiveCognitiveComplexity: central dispatcher for one checked supervisor action.	SUPPRESSION-REVIEWED[T-05538]: existing ACP workflow dispatcher intentionally keeps supervisor action guard ordering auditable in one transition path.
biome-ignore	1	packages/acp-server/test/ops-session-dashboard-events.test.ts	// biome-ignore lint/correctness/useYield: test double that throws on use	SUPPRESSION-REVIEWED[T-05538]: existing test double must be synchronous because the code path should fail before any yield.
biome-ignore	1	packages/acp-server/test/sessions-control.test.ts	// biome-ignore lint/correctness/useYield: test double that throws on use	SUPPRESSION-REVIEWED[T-05538]: existing test double must be synchronous because the code path should fail before any yield.
biome-ignore	1	packages/acp-server/test/sessions-resolve-production.test.ts	// biome-ignore lint/correctness/useYield: test double that throws on use	SUPPRESSION-REVIEWED[T-05538]: existing test double must be synchronous because the code path should fail before any yield.
biome-ignore	1	packages/acp-server/test/workflow-interact-runs.test.ts	// biome-ignore lint/correctness/useYield: test double that throws on use	SUPPRESSION-REVIEWED[T-05538]: existing test double must be synchronous because the code path should fail before any yield.
biome-ignore	1	packages/acp-viewer/src/features/jobs/pages/job-detail.tsx	// biome-ignore lint/style/noNonNullAssertion: guarded by enabled	SUPPRESSION-REVIEWED[T-05538]: existing React query path relies on the enabled predicate to prove this non-null access.
biome-ignore	1	packages/acp-viewer/src/features/jobs/pages/job-flow.tsx	// biome-ignore lint/style/noNonNullAssertion: guarded by enabled	SUPPRESSION-REVIEWED[T-05538]: existing React query path relies on the enabled predicate to prove this non-null access.
biome-ignore	1	packages/acp-viewer/src/features/sessions/components/event-list.tsx	// biome-ignore lint/correctness/useExhaustiveDependencies: re-pin the scroll to the top only when the event count changes, not on every array identity change.	SUPPRESSION-REVIEWED[T-05538]: existing scroll behavior deliberately keys on event count instead of unstable array identity.
biome-ignore	1	packages/acp-viewer/src/main.tsx	// biome-ignore lint/style/noNonNullAssertion: root element guaranteed by index.html	SUPPRESSION-REVIEWED[T-05538]: existing app bootstrap depends on the committed HTML root element.
biome-ignore	1	scripts/validate-scenarios.ts	// biome-ignore lint/complexity/noExcessiveCognitiveComplexity: This independent validation harness keeps each scenario rejection case inline for auditability.	SUPPRESSION-REVIEWED[T-05538]: existing scenario validator keeps rejection cases inline so the fixture audit remains local.
eslint-disable	1	packages/acp-server/src/__tests__/wrkf-errors-mapping.test.ts	// eslint-disable-next-line @typescript-eslint/ban-ts-comment	SUPPRESSION-REVIEWED[T-05538]: existing negative compile fixture intentionally permits the following TypeScript suppression comment.
@ts-expect-error	1	packages/acp-server/src/__tests__/wrkf-errors-mapping.test.ts	// @ts-expect-error -- wrkf/errors.ts does not exist yet (W1 deliverable)	SUPPRESSION-REVIEWED[T-05538]: existing red-path import fixture asserts behavior before the W1 deliverable exists.
@ts-expect-error	1	packages/acp-server/src/__tests__/wrkf-participant-launch.test.ts	// @ts-expect-error -- participant-launch.ts is the W4b deliverable; does not exist yet	SUPPRESSION-REVIEWED[T-05538]: existing red-path import fixture asserts behavior before the W4b deliverable exists.
@ts-expect-error	1	packages/acp-server/src/__tests__/wrkf-port-injection.test.ts	// @ts-expect-error: deps.wrkf does not yet exist on AcpServerDeps (W1 step 3)	SUPPRESSION-REVIEWED[T-05538]: existing fixture locks the missing dependency shape before the W1 API lands.
